Variables= x y z
Zone T="Lower surface" i=1000  j=33
-0.35269170922623944  -0.08974264430183741  0.666541200190659
-0.3516261753615076  -0.08988261411647167  0.6666483099726986
-0.35056064149677574  -0.09002259795411546  0.6667554304856343
-0.34949510763204394  -0.09016259580497861  0.6668625617219738
-0.3484295737673121  -0.09030260765854871  0.666969703673673
-0.34736403990258025  -0.09044263350553755  0.667076856333624
-0.3462985060378484  -0.0905826733363625  0.6671840196944939
-0.34523297217311655  -0.09072272714037877  0.667291193748137
-0.3441674383083847  -0.09086279490832445  0.6673983784874656
-0.34310190444365285  -0.09100287663082991  0.66750557390531
-0.34203637057892106  -0.09114297229711212  0.6676127799934185
-0.3409708367141892  -0.09128308189793509  0.6677199967447233
-0.33990530284945736  -0.09142320542407091  0.667827224152163
-0.3388397689847255  -0.09156334286474657  0.6679344622074938
-0.33777423511999366  -0.09170349421067474  0.6680417109036085
-0.3367087012552618  -0.09184365945265346  0.6681489702334656
-0.33564316739052996  -0.0919838385801559  0.6682562401890095
-0.33457763352579817  -0.0921240315837227  0.6683635207630018
-0.3335120996610663  -0.09226423845417761  0.6684708119484202
-0.33244656579633447  -0.0924044591812442  0.6685781137374008
-0.3313810319316026  -0.09254469375528578  0.6686854261225696
-0.33031549806687077  -0.09268494216715173  0.6687927490969241
-0.3292499642021389  -0.09282520440682  0.668900082652795
-0.3281844303374071  -0.09296548046447162  0.6690074267826683
-0.3271188964726753  -0.0931057703309816  0.6691147814795617
-0.32605336260794343  -0.09324607399658716  0.669222146736004
-0.3249878287432116  -0.09338639145128301  0.669329522544339
-0.32392229487847973  -0.09352672268596954  0.6694369088976032
-0.3228567610137479  -0.09366706769114684  0.6695443057885271
-0.32179122714901603  -0.09380742645661921  0.6696517132093086
-0.3207256932842842  -0.09394779897331273  0.6697591311530038
-0.3196601594195524  -0.09408818523199332  0.6698665596125466
-0.31859462555482054  -0.09422858522227184  0.669973998579987
-0.3175290916900887  -0.09436899893509924  0.6700814480484001
-0.31646355782535684  -0.09450942636143464  0.6701889080108677
-0.315398023960625  -0.09464986749084399  0.6702963784594052
-0.31433249009589315  -0.09479032231422721  0.6704038593870489
-0.3132669562311613  -0.09493079082256851  0.6705113507868997
-0.3122014223664295  -0.09507127300572699  0.6706188526511973
-0.31113588850169765  -0.09521176885438114  0.6707263649728086
-0.3100703546369658  -0.09535227835954029  0.6708338877448536
-0.30900482077223396  -0.09549280151135842  0.670941420959798
-0.3079392869075021  -0.09563333830029028  0.6710489646103373
-0.30687375304277026  -0.09577388871736994  0.6711565186896102
-0.3058082191780384  -0.09591445275304857  0.67126408319031
-0.3047426853133066  -0.09605503039755493  0.6713716581049591
-0.30367715144857477  -0.09619562164194781  0.6714792434267156
-0.3026116175838429  -0.09633622647697676  0.6715868391485006
-0.30154608371911107  -0.09647684489264276  0.6716944452626626
-0.3004805498543792  -0.09661747688002949  0.6718020617623784
-0.29941501598964737  -0.09675812243018593  0.6719096886407985
-0.2983494821249155  -0.09689878153288373  0.6720173258900957
-0.29728394826018373  -0.09703945417923122  0.6721249735034658
